capture_id,site,col,row,u,v,distance_m,pred_disp,lolo_scale,lolo_predicted_depth_m,abs_error_m,lolo_abs_rel
site-c-try-02,site-c,1,5,12.0625,45.5625,18.9740110399,60.8802897334,0.00124873820903,13.1538198277,5.8201912122,0.306745431947
site-c-try-02,site-c,2,5,20.4375,45.5625,18.9846102075,61.6514310241,0.00124873820903,12.9892907416,5.99531946582,0.31579892346
site-c-try-02,site-c,3,5,28.8125,45.5625,19.1065046101,60.3884657025,0.00124873820903,13.2609489725,5.84555563762,0.305945841843
site-c-try-02,site-c,4,5,37.1875,45.5625,18.850532105,56.9407138228,0.00124873820903,14.06389749,4.786634615,0.253925702911
site-c-try-02,site-c,5,5,45.5625,45.5625,12.5985171476,112.980558038,0.00124873820903,7.08801917886,5.51049796874,0.43739258392
site-c-try-02,site-c,6,5,53.9375,45.5625,12.7710246757,110.986488104,0.00124873820903,7.21536806769,5.555656608,0.435020427028
site-c-try-02,site-c,7,5,62.3125,45.5625,11.324258406,110.532105446,0.00124873820903,7.2450294779,4.0792289281,0.360220403125
site-c-try-02,site-c,8,5,70.6875,45.5625,9.73101790618,101.484265685,0.00124873820903,7.89096079874,1.84005710745,0.189091945487
site-c-try-02,site-c,9,5,79.0625,45.5625,9.8101231952,102.699040771,0.00124873820903,7.79762260875,2.01250058645,0.2051452919
site-c-try-02,site-c,10,5,87.4375,45.5625,9.75909362361,104.594859838,0.00124873820903,7.65628792319,2.10280570042,0.215471413793
site-c-try-02,site-c,11,5,95.8125,45.5625,9.80651507651,105.781651378,0.00124873820903,7.57039006085,2.23612501566,0.228024430515
site-c-try-02,site-c,12,5,104.1875,45.5625,9.91867410753,53.4732596278,0.00124873820903,14.9758658399,5.05719173239,0.509865701561
site-c-try-02,site-c,13,5,112.5625,45.5625,19.4861940636,47.5024883151,0.00124873820903,16.8582402862,2.62795377734,0.134862342475
site-c-try-02,site-c,0,6,3.6875,53.9375,8.36598375353,156.842273712,0.00124873820903,5.10581964451,3.26016410902,0.389692856819
site-c-try-02,site-c,1,6,12.0625,53.9375,8.36191699161,159.335227489,0.00124873820903,5.02593415673,3.33598283488,0.398949527749
site-c-try-02,site-c,2,6,20.4375,53.9375,8.35760547991,160.176793575,0.00124873820903,4.99952798614,3.35807749378,0.401798996357
site-c-try-02,site-c,3,6,28.8125,53.9375,8.55081130713,161.981146097,0.00124873820903,4.94383686932,3.60697443781,0.421828328126
site-c-try-02,site-c,4,6,37.1875,53.9375,8.54784030853,156.792829514,0.00124873820903,5.10742975105,3.44041055747,0.402488866578
site-c-try-02,site-c,5,6,45.5625,53.9375,8.54616086834,154.408720732,0.00124873820903,5.18628972777,3.35987114057,0.393143914833
site-c-try-02,site-c,6,6,53.9375,53.9375,8.36014193316,152.942171812,0.00124873820903,5.23602059995,3.12412133321,0.373692379649
site-c-try-02,site-c,7,6,62.3125,53.9375,8.36183339889,152.859685659,0.00124873820903,5.2388460617,3.12298733719,0.373481171917
site-c-try-02,site-c,8,6,70.6875,53.9375,7.76501353286,152.870670557,0.00124873820903,5.23846961154,2.52654392132,0.325375340381
site-c-try-02,site-c,9,6,79.0625,53.9375,7.10474240382,149.152163744,0.00124873820903,5.36906969438,1.73567270944,0.244297767714
site-c-try-02,site-c,10,6,87.4375,53.9375,6.84292276569,147.560685396,0.00124873820903,5.42697643386,1.41594633183,0.206921279155
